Name,Tags,Department,Type,Last edited,Last edited by,Files,Owner,Slug,Date
Case Files Overview,,Front Office,Done,"June 1, 2023 2:13 AM",Addison,,,,
Central Insurance Verification Process,,Front Office,Done,"June 1, 2023 2:16 AM",Addison,,,,
Changing  the Appointment Length,,Front Office,Done,"June 1, 2023 2:13 AM",Addison,,,,
Changing Insurance Coverage,,Front Office,Done,"June 1, 2023 2:13 AM",Addison,,,,
Chart Reviews,Schedule Management,Ops,,"October 3, 2023 12:29 PM",Samantha,,,,
Chart Reviews,Schedule Management,Ops,Done,"October 3, 2023 12:29 PM",Samantha,,,,
Clinic Phone Policy,,Front Office,Done,"June 1, 2023 2:12 AM",Addison,,,,
Clinic Scenarios,"Development, Patient Management, Performance Management, Schedule Management",Ops,,"October 3, 2023 12:35 PM",Samantha,,,,
Cloning an appointment,,Front Office,Done,"June 1, 2023 2:13 AM",Addison,,,,
Closing the Day,,Front Office,Done,"June 1, 2023 2:12 AM",Addison,,,,
Common Abbreviations & Definitions,,Front Office,Done,"June 1, 2023 2:12 AM",Addison,,,,
Compliance Newsletter 2019-Holiday Gift Giving,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
Core Behavior Expectations,"Development, Performance Management, Policy and Procedure",Ops,,"October 3, 2023 12:34 PM",Samantha,,,,
Correct Patient or Clinician Appointment Type,,Front Office,Done,"June 1, 2023 2:12 AM",Addison,,,,
Creating a New Case,,Front Office,Done,"June 1, 2023 2:11 AM",Addison,,,,
"Creating a New Case, former patient",,Front Office,Done,"June 1, 2023 2:11 AM",Addison,,,,
CST All-Star Nomination Form,,HR,"Done, Form","July 7, 2023 12:53 PM",Addison,,,,
CYRACOM - Inbound-Outbound Calling Instructions 2023,Third Party Doc,Front Office,Done,"August 18, 2023 9:18 AM",Addison,,,,
Cyracom Web Portal Instructions,Third Party Doc,Front Office,Done,"September 28, 2023 11:40 AM",Addison,,,,
"Deductible, Copay, Coinsurance",,Front Office,Done,"June 1, 2023 2:10 AM",Addison,,,,
Deleting a Case,,Front Office,Done,"June 1, 2023 2:10 AM",Addison,,,,
DOL - How to submit an authorization correction,Third Party Doc,Front Office,Help,"August 18, 2023 9:18 AM",Addison,,,,
DOL_OWCP Portal_auth instructions_rev cycle,Third Party Doc,Front Office,Done,"August 18, 2023 9:18 AM",Addison,,,,
DOL_OWCP_auth_tutorial,Third Party Doc,Front Office,Help,"August 18, 2023 9:18 AM",Addison,,,,
E-Z Deposit Check Scanning Instructions,Third Party Doc,Front Office,Done,"August 18, 2023 9:19 AM",Addison,,,,
Editing an Authorization,,Front Office,Done,"June 1, 2023 2:10 AM",Addison,,,,
Editing Case Type - Documentation v.s. Non-Documentation,,Front Office,Done,"June 1, 2023 2:10 AM",Addison,,,,
"Email collection rates, CVR",,Marketing,Education,"June 12, 2023 12:22 PM",Samantha,,,,
Employee Mobile App,"Benefits, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
Employee Referral Form,,HR,,"June 19, 2023 10:46 AM",Addison,,,,
Employee Time Cards for Managers,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
Employee View,Third Party Doc,HR,,"August 18, 2023 9:19 AM",Addison,,,,
EmployeeConnect Services - ENGLISH,Third Party Doc,HR,,"August 18, 2023 9:19 AM",Addison,,,,
Entering Coverage Pay - Work-Fit,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
Entering Mileage - Outpatient Clinics and CST,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
Entering Mileage - Work-Fit,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
ERS Registration Instructions,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
"Example_DOL_preauth_authfrom Portal ",,Front Office,Done,"June 1, 2023 2:23 AM",Addison,,,,
Expectations of a Clinic Director,"Development, Performance Management",Ops,,"October 3, 2023 12:34 PM",Samantha,,,,
Expectations of an Alliance Clinic Director,"Development, Performance Management",Ops,,"October 3, 2023 12:34 PM",Samantha,,,,
FAX ANNOUNCEMENTS THROUGH SFAX,,Front Office,Done,"June 1, 2023 2:17 AM",Addison,,,,
Faxing PHI,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
FCE Protocol,,Workers Comp,,"October 20, 2023 11:10 AM",Addison,,,,
FCE Protocol 3.28.2023,,Front Office,Done,"June 1, 2023 2:21 AM",Addison,,,,
FOC DAILY WEEKLY MONTHLY CHECKLISTS Jan 2021,,Front Office,,"September 28, 2023 11:45 AM",Addison,,,,
FOC Inboxes,,Front Office,,"August 17, 2023 11:54 AM",Addison,,,,
FOC Schedule Optimization,Schedule Management,Ops,,"October 3, 2023 12:30 PM",Samantha,,,,
FOC Tip of the Week,,Front Office,Done,"June 1, 2023 2:17 AM",Addison,,,,
FOC Training Guide Checklist APR 2021,,Front Office,Done,"June 1, 2023 2:10 AM",Addison,,,,
FOC-of-the-Month-Nomination-Form,,Front Office,"Done, Form","July 7, 2023 12:57 PM",Addison,,,,
Free Injury Screen Policy,Policy and Procedure,"Front Office, Ops",,"October 3, 2023 12:30 PM",Samantha,,,,
Gaining Agreement with Your Treatment Approach,Patient Management,Ops,,"October 3, 2023 12:30 PM",Samantha,,,,
Guidelines for Patient Arrivals & Screenings 04.2021,,Front Office,Done,"June 1, 2023 2:23 AM",Addison,,,,
HIPAA Hints - Emailing Patient Packets,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
HIPAA Hints - Minors,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
HIPAA Hints - Payment and Collections Contacts,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
HIPAA Hints - Privacy FAQs,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
Holiday Planning For Success,Schedule Management,Ops,,"October 3, 2023 12:30 PM",Samantha,,,,
"Holiday Planning For Success ",Schedule Management,Ops,Done,"October 3, 2023 12:30 PM",Samantha,,,,
Homelink,,Front Office,Done,"June 1, 2023 2:24 AM",Addison,,,,
Homelink HTN Patient Referral Procedure Flyer_011720,,Front Office,Done,"June 1, 2023 2:23 AM",Addison,,,,
Homelink Provider ID,,Front Office,Done,"June 1, 2023 2:24 AM",Addison,,,,
How to Download-Fax Multiple Files,,Front Office,Done,"June 1, 2023 2:09 AM",Addison,,,,
How to Print the Clinician’s Daily Appointment Schedule,,Front Office,Done,"June 1, 2023 2:09 AM",Addison,,,,
How to run the Patient Visit Outlook Report,,Front Office,Done,"June 1, 2023 2:09 AM",Addison,,,,
How to Upload a Document,,Front Office,Done,"June 1, 2023 2:08 AM",Addison,,,,
Humana Optum-Orthonet FAQs 2020,,Front Office,Done,"June 1, 2023 2:09 AM",Addison,,,,
Hydrocollator_Warmer_Temperature_Cleaning_Log,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
Imp of Social Media_Tiers,,Marketing,Education,"June 12, 2023 12:20 PM",Samantha,,,,
Insurance tab PDF,,Front Office,Done,"June 1, 2023 2:08 AM",Addison,,,,
iOS APP Blue User Guide,Third Party Doc,Front Office,Help,"August 18, 2023 9:18 AM",Addison,,,,
Job Posting Process,,"HR, TA",,"September 15, 2023 11:16 AM",Addison,,,,
Managing Time Off Requests,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
Material Weight Guidelines,,Workers Comp,,"October 3, 2023 3:19 PM",Addison,,,,
Medicaid Eligibility,Third Party Doc,Front Office,Done,"August 18, 2023 9:19 AM",Addison,,,,
Medical Records FAQ,Policy and Procedure,Ops,,"October 3, 2023 12:31 PM",Samantha,,,,
Medical Records FAQ 12.2020,,Front Office,Done,"June 1, 2023 2:08 AM",Addison,,,,
"Medical Review, Set up and Tracking",,Front Office,Done,"June 1, 2023 2:07 AM",Addison,,,,
MedRisk Referral Info,,Workers Comp,,"October 20, 2023 10:54 AM",Addison,,,,
Mentee Tips,,Education,,"October 5, 2023 10:20 PM",Addison,,,,
Mentor Reflection Questions Reference,,Education,,"October 6, 2023 9:37 AM",Addison,,,,
Mentor Session Modules,"Paycor, Third Party Doc",Education,,"October 5, 2023 10:36 PM",Addison,,,,
Mentorship Program - PTA,,Education,,"July 14, 2023 9:29 AM",Addison,,,,
Mentorship Program Overview,,Education,,"October 5, 2023 10:21 PM",Addison,,,,
"Mission, Vision, Values",,All Staff,,"October 3, 2023 1:07 PM",Samantha,,,,
Moving-Rescheduling an Appointment,,Front Office,Done,"June 1, 2023 2:07 AM",Addison,,,,
MVA/LOP Process,,,,"November 27, 2023 12:47 PM",Linda,,,,
Navigating the Schedule in AgileRPM,,Front Office,Done,"June 1, 2023 2:06 AM",Addison,,,,
Net Promoter Score Quick Reference Guide,Performance Management,"Marketing, Ops",Done,"October 3, 2023 12:31 PM",Samantha,,,,
New Hire Process 2023,,"HR, TA",,"August 17, 2023 11:33 AM",Addison,,,,
New Hire PT Mentorship Program Manual 2023,,Education,,"October 5, 2023 10:22 PM",Addison,,,,
New Hire PTA Mentorship Program Manual 2023,,Education,,"May 18, 2023 11:00 AM",Addison,,,,
owcp - DFEC authorization,Third Party Doc,Front Office,Help,"August 18, 2023 9:18 AM",Addison,,,,
Partner Leadership Grid,Policy and Procedure,Ops,Done,"October 3, 2023 12:31 PM",Samantha,,,,
Patient Case Home Screen Overview,,Front Office,Done,"June 1, 2023 2:07 AM",Addison,,,,
Patient Dedication Page for WCWH,,Workers Comp,,"October 20, 2023 10:53 AM",Addison,,,,
Patient Discharge Expectations 07-2020,,Front Office,Done,"June 1, 2023 2:05 AM",Addison,,,,
Patient Screen Questionnaire 04.2021,,Front Office,Done,"June 1, 2023 2:22 AM",Addison,,,,
Physical Demand Levels,,Workers Comp,,"October 3, 2023 3:24 PM",Addison,,,,
PINs,,Front Office,Done,"August 17, 2023 11:55 AM",Addison,,,,
Posting a Patient Payment,,Front Office,Done,"June 1, 2023 2:04 AM",Addison,,,,
Pride in PT,Development,Ops,,"October 3, 2023 1:11 PM",Samantha,,,,
Print an Appointment Schedule for the Patient,,Front Office,Done,"June 1, 2023 2:05 AM",Addison,,,,
Printable Forms/Documents,,Front Office,,"September 28, 2023 11:40 AM",Addison,,,,
Profile Summary,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:17 AM",Addison,,,,
PTO management guidelines,Performance Management,Ops,,"October 3, 2023 12:32 PM",Samantha,,,,
PTO Requests in Paycor,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:16 AM",Addison,,,,
"Punching in and out of a new rate or location ","Paycor, Third Party Doc",HR,,"August 18, 2023 9:16 AM",Addison,,,,
Punching in and out with Paycor,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:16 AM",Addison,,,,
Record Retention Policy,,Compliance,,"September 6, 2023 10:42 AM",Addison,,,,
Red Envelope Policy APTP 11.2018,Policy and Procedure,Ops,,"October 3, 2023 12:32 PM",Samantha,,,,
Red Envelope Policy Intro Letter 10.21.22,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
Referral Bonus Policy 3.15.22,,HR,,"September 15, 2023 11:14 AM",Addison,,,,
Requesting Refunds,,Front Office,Form,"June 1, 2023 2:04 AM",Addison,,,,
Reschedule and Cancel Guidelines,Patient Management,Ops,,"October 3, 2023 12:32 PM",Samantha,,,,
Responibilities of an Alliance Leader,Performance Management,Ops,,"October 3, 2023 12:32 PM",Samantha,,,,
Responsibilities & Role of Group Director,Performance Management,Ops,,"October 3, 2023 12:33 PM",Samantha,,,,
Revocation of Authorization for Release of Protected Health Information,,Compliance,,"September 6, 2023 10:58 AM",Addison,,,,
Screening-Intake-Form-ERS 0219-2,Policy and Procedure,Ops,,"October 3, 2023 12:33 PM",Samantha,,,,
Screening-Report-ERS 0519 (002),Policy and Procedure,Ops,,"October 3, 2023 12:33 PM",Samantha,,,,
Scripted Responses to Patients,,Front Office,Done,"June 1, 2023 2:16 AM",Addison,,,,
Scripted Responses to Patients,Patient Management,Ops,,"October 3, 2023 12:33 PM",Samantha,,,,
Scripted Responses to Patients who Cx,Patient Management,Ops,,"October 3, 2023 12:33 PM",Samantha,,,,
Search Cases-CasesTab,,Front Office,Done,"June 1, 2023 2:03 AM",Addison,,,,
Searching for a Patient,,Front Office,Done,"May 31, 2023 4:38 PM",Addison,,,,
Self Pay Flat Rate Feature,,Front Office,Done,"May 31, 2023 4:38 PM",Addison,,,,
Social Media Champion Training,Social Media,Marketing,Done,"June 1, 2023 4:28 PM",Samantha,,Samantha,,
SOL Registration Instructions,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:12 AM",Addison,,,,
Stay Interview FAQ,Performance Management,Ops,,"October 3, 2023 12:33 PM",Samantha,,,,
Stay Interview Questions,Performance Management,"HR, Ops",Help,"October 3, 2023 12:33 PM",Samantha,,,,
STORING & CHARGING PATIENT CREDIT CARD INFORMATION,,Front Office,Done,"September 28, 2023 11:45 AM",Addison,,,,
Student Observation Program Guidelines,Policy and Procedure,Ops,,"October 3, 2023 12:33 PM",Samantha,,,,
Student Observer Agreement,Policy and Procedure,Ops,,"October 3, 2023 12:34 PM",Samantha,,,,
Student OBSERVER Checklist & Questionnaire,Policy and Procedure,Ops,,"October 3, 2023 12:34 PM",Samantha,,,,
Taking a Credit Card Payment,,Front Office,Done,"June 1, 2023 2:16 AM",Addison,,,,
Therapeutic Alliance,,Ops,,"October 3, 2023 1:23 PM",Addison,,,,
Time Dashboard Filter Setup - APTP,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:16 AM",Addison,,,,
Time Dashboard Filter Setup - APTP Group 2,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:16 AM",Addison,,,,
Time Dashboard Filter Setup - ERS,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:16 AM",Addison,,,,
Time Dashboard Filter Setup - SOL,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:16 AM",Addison,,,,
Time Dashboard Filter Setup - Whatcom,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:13 AM",Addison,,,,
Updated Letterheads,,Marketing,Done,"August 17, 2023 12:40 PM",Addison,Front%20Office%20Operations%2002ddedf18c36408186e1e65e800ade10/Updated_Letterhead.zip,Samantha,,
VPOS2 Credit Card Password Reset Instructions,Third Party Doc,Front Office,Help,"August 18, 2023 9:12 AM",Addison,,,,
What is a Work Conditioning/Hardening Program,,Workers Comp,,"October 3, 2023 3:12 PM",Addison,,,,
Whatcom Registration Instructions,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:13 AM",Addison,,,,
Work Conditioning/Hardening Checklist,,Workers Comp,,"October 20, 2023 10:49 AM",Addison,,,,
Work Conditioning/Hardening Excercises,,Workers Comp,,"October 20, 2023 10:48 AM",Addison,,,,
Work Conditioning/SMART Procedures,,Workers Comp,,"October 3, 2023 3:10 PM",Addison,,,,
Work Conditioning/Smart Protocol,,Ops,,"October 3, 2023 1:49 PM",Addison,,,,
Work Queue PDF,,Front Office,Done,"June 1, 2023 2:15 AM",Addison,,,,
Working Advantage Flyer,Third Party Doc,HR,,"August 18, 2023 9:19 AM",Addison,,,,
Zoom Backgrounds,,Marketing,Done,"August 17, 2023 12:41 PM",Addison,Front%20Office%20Operations%2002ddedf18c36408186e1e65e800ade10/Zoom_Backgrounds.zip,Samantha,,
,,,,"October 24, 2023 10:41 AM",Addison,,,,
,,,,"October 3, 2023 2:29 PM",Addison,,,,
,,,,"October 3, 2023 2:29 PM",Addison,,,,
