Name,Tags,Department,Type
How to run the Patient Visit Outlook Report,,Front Office,Done
How to Print the Clinician’s Daily Appointment Schedule,,Front Office,Done
How to Download-Fax Multiple Files,,Front Office,Done
Humana Optum-Orthonet FAQs 2020,,Front Office,Done
How to Upload a Document,,Front Office,Done
Insurance tab PDF,,Front Office,Done
Medical Records FAQ 12.2020,,Front Office,Done
"Medical Review, Set up and Tracking",,Front Office,Done
Moving-Rescheduling an Appointment,,Front Office,Done
Patient Case Home Screen Overview,,Front Office,Done
Navigating the Schedule in AgileRPM,,Front Office,Done
Patient Discharge Expectations 07-2020,,Front Office,Done
Print an Appointment Schedule for the Patient,,Front Office,Done
Posting a Patient Payment,,Front Office,Done
Requesting Refunds,,Front Office,Form
Search Cases-CasesTab,,Front Office,Done
Searching for a Patient,,Front Office,Done
Self Pay Flat Rate Feature,,Front Office,Done
Screening-Intake-Form-ERS 0219-2,Policy and Procedure,Ops,
Partner Leadership Grid,Policy and Procedure,Ops,Done
EmployeeConnect Services - ENGLISH,Third Party Doc,HR,
Employee View,Third Party Doc,HR,
Working Advantage Flyer,Third Party Doc,HR,
New Hire PTA Mentorship Program Manual 2023,,Education,
Mentorship Program - PTA,,Education,
Mentee Tips,,Education,
Mentorship Program Overview,,Education,
New Hire PT Mentorship Program Manual 2023,,Education,
Mentor Reflection Questions Reference,,Education,
Responsibilities & Role of Group Director,Performance Management,Ops,
Responibilities of an Alliance Leader,Performance Management,Ops,
Reschedule and Cancel Guidelines,Patient Management,Ops,
Red Envelope Policy APTP 11.2018,Policy and Procedure,Ops,
PTO management guidelines,Performance Management,Ops,
Holiday Planning For Success,Schedule Management,Ops,
Gaining Agreement with Your Treatment Approach,Patient Management,Ops,
FOC Schedule Optimization,Schedule Management,Ops,
Expectations of an Alliance Clinic Director,"Development, Performance Management",Ops,
Expectations of a Clinic Director,"Development, Performance Management",Ops,
Student OBSERVER Checklist & Questionnaire,Policy and Procedure,Ops,
Student Observer Agreement,Policy and Procedure,Ops,
Student Observation Program Guidelines,Policy and Procedure,Ops,
Stay Interview FAQ,Performance Management,Ops,
Scripted Responses to Patients,Patient Management,Ops,
Scripted Responses to Patients who Cx,Patient Management,Ops,
Free Injury Screen Policy,Policy and Procedure,"Front Office, Ops",
Screening-Report-ERS 0519 (002),Policy and Procedure,Ops,
Medical Records FAQ,Policy and Procedure,Ops,
FOC DAILY WEEKLY MONTHLY CHECKLISTS Jan 2021,,Front Office,
Record Retention Policy,,Compliance,
Revocation of Authorization for Release of Protected Health Information,,Compliance,
Red Envelope Policy Intro Letter 10.21.22,,Compliance,
Hydrocollator_Warmer_Temperature_Cleaning_Log,,Compliance,
Faxing PHI,,Compliance,
HIPAA Hints - Emailing Patient Packets,,Compliance,
HIPAA Hints - Minors,,Compliance,
HIPAA Hints - Privacy FAQs,,Compliance,
HIPAA Hints - Payment and Collections Contacts,,Compliance,
Work Conditioning/Smart Protocol,,Ops,
Pride in PT,Development,Ops,
,,,
,,,
FCE Protocol,,Workers Comp,
Work Conditioning/SMART Procedures,,Workers Comp,
Work Conditioning/Hardening Excercises,,Workers Comp,
What is a Work Conditioning/Hardening Program,,Workers Comp,
Work Conditioning/Hardening Checklist,,Workers Comp,
Patient Dedication Page for WCWH,,Workers Comp,
Material Weight Guidelines,,Workers Comp,
MedRisk Referral Info,,Workers Comp,
Physical Demand Levels,,Workers Comp,
MVA/LOP Process,,,
